,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim
PON,PON,2.2041015625,4.971921157862421,3838.620000000001,1245.2620000000004,1.6099208277662265,0.3818928815661173,18.0,1.422977313219621,0.14316082656354728,18.2,18.6,32.3
POS,POS,7.0908203125,7.602631123499284,10871.360000000002,7843.818000000002,2.4163688287517706,0.7260023694493999,1659.0,2.25113517636987,0.5848584314982236,38.2,38.2,21.7
PSI,PSI,1.9931640625,6.08276253029822,14295.130000000003,4243.079000000001,1.4699931954510705,0.5145948597915256,60.0,1.8739806500786536,0.0713582151212828,15.4,44.9,76.7
PUN,PUN,3.3291015625,5.535341001239219,8296.220000000001,4048.818000000001,1.998034157345002,0.33489405016256496,64.0,2.0251035466691176,0.1345636230490235,28.8,17.2,37.3
RHO,RHO,4.2080078125,10.478549517943788,9172.460000000001,5849.490000000002,2.3970550006406053,1.0786710335953114,1260.0,1.4631729811440692,0.16732127718562653,28.5,28.5,28.3
RRO,RRO,2.4677734375,4.707440918375928,1655.0000000000002,653.2980000000001,1.799513494390786,0.35500310083858394,4.0,1.5815184906479418,0.04609690293258943,15.2,16.2,30.9
RSN,RSN,3.7861328125,5.188448708429139,8056.880000000002,2683.4590000000007,1.700047866759019,0.35269087233367147,1024.0,3.491479760472699,1.6719082796652844,14.7,82.0,14.5
RTE,RTE,3.8916015625,6.968500556073738,2901.1700000000005,1788.3120000000004,2.492323492629518,0.5739582833801268,93.0,1.2705293263656843,0.05155870345657883,27.9,26.0,14.5
RTH,RTH,3.0126953125,8.306623862918075,5076.570000000001,3096.1800000000007,2.235293990920875,0.7658727296393775,17.0,1.4477523585724759,0.2655689465310671,19.9,40.0,19.7
RUT,RUT,1.9931640625,6.174139616173252,3791.3600000000006,1891.8550000000005,2.104529551349176,0.5903889007543941,4.0,1.4372076589108433,0.0031150078466367975,26.4,25.3,22.7
RWR,RWR,1.6943359375,4.582575694955841,2599.7800000000007,803.0410000000002,1.7390523189913945,0.3165710881565926,0.0,nan,nan,15.7,15.5,53.3
RWY,RWY,6.3701171875,14.578065715313537,18172.060000000005,23865.633000000005,3.833115882677971,1.408827192573067,1755.0,1.5127197755927237,0.12971144017756783,36.1,36.1,35.9
SAF,SAF,6.5986328125,7.345747068882782,5124.450000000001,2736.140000000001,1.8135960336232917,0.7711076654447374,38.0,1.1756111689218856,0.07836961926120241,29.6,54.3,15.3
SAO,SAO,6.3876953125,8.676404785393546,10854.700000000003,9131.440000000002,2.598290062455721,0.9184206996088045,117.0,1.8538066303374316,0.07325271023525667,27.9,26.4,42.5
SAS,SAS,4.2431640625,8.87693640846886,4010.7400000000007,2650.4800000000005,2.526527019609872,0.8145231850644701,58.0,1.343485935066353,0.1745957647590142,26.9,26.9,19.3
SAT,SAT,3.0126953125,6.702238432046416,12081.270000000002,5730.910000000002,1.9586398949181842,0.7177744885222717,187.0,1.2897816753545113,0.1175801936261982,24.1,22.2,61.7
SAV,SAV,3.9619140625,8.765842800324451,10372.440000000002,6904.459000000002,2.5429328003967018,0.6708828250723791,418.0,2.355130312513787,0.7161790210117499,37.0,37.0,18.5
SBE,SBE,4.2080078125,13.03226764611593,26419.860000000004,22284.212000000007,2.7290964439836807,1.3394523414927288,7047.0,1.3920164010075389,0.1071024561984801,35.8,37.3,53.9
SBN,SBN,2.8017578125,5.075431016179808,2087.0600000000004,646.6580000000001,1.5916465484915638,0.39469123683982527,30.0,1.4769339822128116,0.099983972119847,14.7,12.2,26.5
SBS,SBS,5.8251953125,11.513470371699404,18747.250000000004,18050.150000000005,2.7624037319728334,1.2064866584302107,120.0,1.492198674645569,0.24828159428932767,34.9,30.2,55.7
SBT,SBT,6.0009765625,11.203570859328734,26782.850000000006,26203.082000000006,2.8903882872525943,1.2472585508402163,128.0,1.8962893094979165,0.030966581607744213,33.3,30.2,83.3
SEW,SEW,1.7998046875,7.056911505750941,9861.460000000003,6847.020000000001,2.289171671343664,0.7317650245899069,0.0,nan,nan,48.4,23.3,28.9
SFE,SFE,1.8525390625,6.61513416341649,2039.2200000000005,994.6240000000003,1.7077026870753185,0.6330864088535024,0.0,nan,nan,22.5,10.5,27.7
SFF,SFF,5.8076171875,7.792303895511263,4697.710000000001,3385.7800000000007,2.804535533685081,0.621079641633914,86.0,1.3439229595636408,0.08703619766554378,23.1,44.1,14.5
SFG,SFG,5.5615234375,7.068238818828917,8737.970000000001,5404.395000000001,1.9921867890101799,0.7131050227192516,140.0,2.111989224726569,0.5890444240817612,50.4,24.3,25.9
SFH,SFH,2.3095703125,8.318653737234168,9369.240000000002,5820.990000000002,2.051913917003471,0.8730362645432858,27.0,1.420380945094898,0.03608458640823664,10.5,68.7,43.1
SFN,SFN,2.2919921875,8.423775875461075,5143.300000000001,2410.0590000000007,1.6968792657619338,0.48367374495478865,726.0,1.4203226723766131,0.09889148086516614,50.9,10.5,29.1
SFO,SFO,5.8076171875,8.133879763065101,6596.950000000002,3801.6330000000007,2.0861520231107926,0.7468070949357897,233.0,2.0649096316792876,0.5705812064416207,44.8,26.4,13.9
SFS,SFS,4.4365234375,7.722693830523129,9837.360000000002,5097.237000000001,1.799257660959869,0.6763146443660109,522.0,2.455493129942295,0.5907916788674344,28.3,40.3,24.1
SFW,SFW,3.6982421875,7.748548251124207,23868.020000000004,13446.231000000003,2.0768616037499137,0.732213159883317,1449.0,1.1987098247994048,0.07110435130323875,27.5,23.8,88.1
SGT,SGT,1.9931640625,7.922120928135344,8384.880000000001,4395.004000000001,2.0099943368734072,0.778170936157474,0.0,nan,nan,20.6,20.4,69.1
SIV,SIV,3.5927734375,5.40740233383831,11983.620000000003,4775.961000000001,1.8404645104434254,0.39326401610676914,60.0,1.4837340874245306,0.17651072545594587,18.4,28.2,54.7
